date,Sea Level,Weather,Temperatures,Carbon Dioxide,Global Warming,Country
2019-08-04,0,64,0,0,0,Chile
2019-08-11,0,57,0,0,0,Chile
2019-08-18,0,57,0,0,1,Chile
2019-08-25,0,56,0,0,1,Chile
2019-09-01,0,69,0,0,1,Chile
2019-09-08,0,75,0,0,0,Chile
2019-09-15,0,65,0,0,0,Chile
2019-09-22,0,51,0,0,2,Chile
2019-09-29,0,68,0,0,1,Chile
2019-10-06,0,60,0,0,1,Chile
2019-10-13,0,77,0,0,1,Chile
2019-10-20,0,94,0,0,0,Chile
2019-10-27,0,67,0,0,0,Chile
2019-11-03,0,64,0,0,0,Chile
2019-11-10,0,58,0,0,1,Chile
2019-11-17,0,58,0,0,0,Chile
2019-11-24,0,59,0,0,0,Chile
2019-12-01,0,50,0,0,0,Chile
2019-12-08,0,51,0,0,0,Chile
2019-12-15,0,48,0,0,0,Chile
2019-12-22,0,62,0,0,0,Chile
2019-12-29,0,59,0,0,0,Chile
2020-01-05,0,68,0,0,0,Chile
2020-01-12,0,57,0,0,0,Chile
2020-01-19,0,54,0,0,0,Chile
2020-01-26,0,50,0,0,0,Chile
2020-02-02,0,54,0,0,0,Chile
2020-02-09,0,53,0,0,0,Chile
2020-02-16,0,46,0,0,1,Chile
2020-02-23,0,43,0,0,0,Chile
2020-03-01,0,47,0,0,0,Chile
2020-03-08,0,42,0,0,0,Chile
2020-03-15,0,39,0,0,0,Chile
2020-03-22,0,34,0,0,1,Chile
2020-03-29,0,34,0,0,0,Chile
2020-04-05,0,36,0,0,0,Chile
2020-04-12,0,39,0,0,0,Chile
2020-04-19,0,42,0,0,0,Chile
2020-04-26,0,41,0,0,0,Chile
2020-05-03,0,36,0,0,0,Chile
2020-05-10,0,38,0,0,0,Chile
2020-05-17,0,53,0,0,0,Chile
2020-05-24,0,53,0,0,0,Chile
2020-05-31,0,50,0,0,0,Chile
2020-06-07,0,54,0,0,0,Chile
2020-06-14,0,64,0,0,0,Chile
2020-06-21,0,66,0,0,0,Chile
2020-06-28,0,69,0,0,0,Chile
2020-07-05,0,49,0,0,0,Chile
2020-07-12,0,43,0,0,0,Chile
2020-07-19,0,49,0,0,0,Chile
2020-07-26,0,34,0,0,0,Chile
2020-08-02,0,31,0,0,0,Chile
2020-08-09,0,32,0,0,0,Chile
2020-08-16,0,35,0,0,0,Chile
2020-08-23,0,51,0,0,0,Chile
2020-08-30,0,34,0,0,0,Chile
2020-09-06,0,35,0,0,0,Chile
2020-09-13,0,41,0,0,0,Chile
2020-09-20,0,37,0,0,0,Chile
2020-09-27,0,34,0,0,0,Chile
2020-10-04,0,27,0,0,0,Chile
2020-10-11,0,32,0,0,0,Chile
