date,Sea Level,Weather,Temperatures,Carbon Dioxide,Global Warming,Country
2019-08-04,0,39,0,0,0,Colombia
2019-08-11,0,43,0,0,0,Colombia
2019-08-18,0,38,0,0,1,Colombia
2019-08-25,1,40,0,0,0,Colombia
2019-09-01,0,42,0,0,1,Colombia
2019-09-08,0,32,0,0,1,Colombia
2019-09-15,0,41,0,0,1,Colombia
2019-09-22,0,34,0,0,2,Colombia
2019-09-29,0,45,1,0,1,Colombia
2019-10-06,0,55,0,0,2,Colombia
2019-10-13,0,51,0,0,1,Colombia
2019-10-20,0,58,0,0,1,Colombia
2019-10-27,0,49,0,0,1,Colombia
2019-11-03,0,54,1,0,0,Colombia
2019-11-10,0,69,0,0,0,Colombia
2019-11-17,0,57,0,1,1,Colombia
2019-11-24,0,59,0,0,1,Colombia
2019-12-01,0,69,0,0,1,Colombia
2019-12-08,0,61,0,0,1,Colombia
2019-12-15,0,67,0,0,0,Colombia
2019-12-22,0,75,0,0,0,Colombia
2019-12-29,0,85,0,0,0,Colombia
2020-01-05,0,71,0,0,0,Colombia
2020-01-12,0,70,0,0,0,Colombia
2020-01-19,0,69,0,0,1,Colombia
2020-01-26,0,52,0,0,0,Colombia
2020-02-02,0,59,0,0,0,Colombia
2020-02-09,0,54,0,0,1,Colombia
2020-02-16,0,57,0,1,1,Colombia
2020-02-23,1,65,1,0,1,Colombia
2020-03-01,0,51,0,0,1,Colombia
2020-03-08,0,55,0,0,1,Colombia
2020-03-15,0,37,0,0,1,Colombia
2020-03-22,0,33,0,0,1,Colombia
2020-03-29,0,34,0,1,1,Colombia
2020-04-05,0,37,0,0,0,Colombia
2020-04-12,0,34,1,0,1,Colombia
2020-04-19,0,34,0,0,1,Colombia
2020-04-26,0,31,0,0,1,Colombia
2020-05-03,0,34,0,1,0,Colombia
2020-05-10,0,38,0,1,1,Colombia
2020-05-17,0,39,0,1,1,Colombia
2020-05-24,0,42,1,0,0,Colombia
2020-05-31,0,43,0,1,0,Colombia
2020-06-07,0,40,1,0,0,Colombia
2020-06-14,0,39,0,0,0,Colombia
2020-06-21,0,35,0,0,0,Colombia
2020-06-28,0,37,0,0,0,Colombia
2020-07-05,0,36,0,0,0,Colombia
2020-07-12,0,38,0,0,0,Colombia
2020-07-19,0,38,0,0,0,Colombia
2020-07-26,0,40,1,0,0,Colombia
2020-08-02,0,39,0,0,0,Colombia
2020-08-09,0,38,1,0,1,Colombia
2020-08-16,0,40,0,0,1,Colombia
2020-08-23,0,41,0,0,1,Colombia
2020-08-30,0,43,0,1,1,Colombia
2020-09-06,0,39,0,0,0,Colombia
2020-09-13,0,38,0,0,1,Colombia
2020-09-20,0,40,0,0,0,Colombia
2020-09-27,0,42,0,1,0,Colombia
2020-10-04,0,44,0,0,0,Colombia
2020-10-11,0,44,0,0,1,Colombia
2020-10-18,1,42,0,1,0,Colombia
2020-10-25,0,47,0,0,0,Colombia
2020-11-01,0,45,0,0,1,Colombia
2020-11-08,0,57,0,0,0,Colombia
2020-11-15,0,60,1,1,0,Colombia
2020-11-22,0,54,0,0,0,Colombia
2020-11-29,0,51,0,0,0,Colombia
2020-12-06,0,59,0,0,0,Colombia
2020-12-13,0,54,0,0,0,Colombia
2020-12-20,0,60,0,0,0,Colombia
2020-12-27,0,65,0,0,0,Colombia
2021-01-03,0,56,0,0,0,Colombia
2021-01-10,0,50,0,0,0,Colombia
2021-01-17,0,46,0,0,0,Colombia
2021-01-24,0,42,0,0,0,Colombia
2021-01-31,0,45,0,0,0,Colombia
2021-02-07,0,44,0,1,0,Colombia
2021-02-14,0,53,1,0,1,Colombia
2021-02-21,0,42,0,0,0,Colombia
2021-02-28,0,46,0,0,0,Colombia
2021-03-07,0,47,0,0,0,Colombia
2021-03-14,0,48,0,0,0,Colombia
2021-03-21,0,50,0,0,0,Colombia
2021-03-28,0,52,0,0,0,Colombia
2021-04-04,0,43,1,0,0,Colombia
2021-04-11,0,47,0,1,1,Colombia
2021-04-18,0,37,0,0,0,Colombia
2021-04-25,0,48,0,1,0,Colombia
2021-05-02,0,46,0,0,0,Colombia
2021-05-09,0,40,0,0,1,Colombia
2021-05-16,0,44,0,0,1,Colombia
2021-05-23,0,41,0,0,0,Colombia
2021-05-30,0,42,0,0,1,Colombia
2021-06-06,0,49,0,1,0,Colombia
2021-06-13,0,48,0,0,0,Colombia
2021-06-20,0,48,0,0,0,Colombia
2021-06-27,0,50,0,0,0,Colombia
2021-07-04,0,52,0,0,0,Colombia
2021-07-11,0,52,0,0,0,Colombia
2021-07-18,0,48,0,0,0,Colombia
2021-07-25,0,49,0,0,0,Colombia
2021-08-01,0,46,0,0,1,Colombia
2021-08-08,0,45,0,0,0,Colombia
2021-08-15,0,51,0,0,0,Colombia
2021-08-22,0,51,0,0,1,Colombia
2021-08-29,0,52,0,0,0,Colombia
2021-09-05,0,49,0,0,0,Colombia
2021-09-12,0,47,0,1,1,Colombia
2021-09-19,0,49,0,0,0,Colombia
2021-09-26,0,53,0,0,0,Colombia
2021-10-03,0,52,0,0,1,Colombia
2021-10-10,0,52,0,0,0,Colombia
2021-10-17,0,51,0,0,0,Colombia
2021-10-24,0,58,0,0,1,Colombia
2021-10-31,0,53,1,0,0,Colombia
2021-11-07,0,55,0,0,0,Colombia
2021-11-14,0,50,0,0,0,Colombia
2021-11-21,0,62,0,0,0,Colombia
2021-11-28,0,50,0,0,0,Colombia
2021-12-05,0,55,0,0,0,Colombia
2021-12-12,0,55,0,0,0,Colombia
2021-12-19,0,61,0,0,0,Colombia
2021-12-26,0,69,0,0,0,Colombia
2022-01-02,0,57,0,0,0,Colombia
2022-01-09,0,52,0,0,0,Colombia
2022-01-16,0,47,0,0,0,Colombia
2022-01-23,0,46,0,0,0,Colombia
2022-01-30,0,47,0,0,0,Colombia
2022-02-06,0,53,0,0,1,Colombia
2022-02-13,0,48,0,0,1,Colombia
2022-02-20,0,44,0,0,1,Colombia
2022-02-27,0,48,0,0,1,Colombia
2022-03-06,0,45,0,0,0,Colombia
2022-03-13,0,43,0,0,1,Colombia
2022-03-20,0,45,0,0,1,Colombia
2022-03-27,0,42,0,1,0,Colombia
2022-04-03,0,44,0,1,0,Colombia
2022-04-10,0,47,0,0,0,Colombia
2022-04-17,0,47,0,0,1,Colombia
2022-04-24,0,47,0,0,1,Colombia
2022-05-01,0,47,0,0,0,Colombia
2022-05-08,0,47,0,0,1,Colombia
2022-05-15,0,45,0,0,0,Colombia
2022-05-22,0,43,0,0,1,Colombia
2022-05-29,0,46,0,0,0,Colombia
2022-06-05,0,50,1,0,1,Colombia
2022-06-12,0,46,0,0,0,Colombia
2022-06-19,0,51,0,0,0,Colombia
2022-06-26,0,67,0,0,0,Colombia
2022-07-03,0,51,0,0,0,Colombia
2022-07-10,0,46,0,0,0,Colombia
2022-07-17,0,51,0,0,0,Colombia
2022-07-24,0,46,0,0,1,Colombia
2022-07-31,0,47,1,0,0,Colombia
2022-08-07,0,47,0,0,0,Colombia
2022-08-14,0,48,0,1,0,Colombia
2022-08-21,0,45,0,0,1,Colombia
2022-08-28,1,44,0,1,1,Colombia
2022-09-04,0,44,0,0,0,Colombia
2022-09-11,0,46,0,0,1,Colombia
2022-09-18,0,50,0,0,1,Colombia
2022-09-25,0,55,0,1,1,Colombia
2022-10-02,0,52,0,1,1,Colombia
2022-10-09,0,50,1,0,0,Colombia
2022-10-16,0,52,0,0,0,Colombia
2022-10-23,0,49,0,0,1,Colombia
2022-10-30,0,54,0,1,1,Colombia
2022-11-06,0,64,0,1,1,Colombia
2022-11-13,0,68,0,0,0,Colombia
2022-11-20,0,58,0,0,0,Colombia
2022-11-27,0,60,0,0,1,Colombia
2022-12-04,0,65,0,0,0,Colombia
2022-12-11,0,66,0,0,0,Colombia
2022-12-18,0,84,0,0,0,Colombia
2022-12-25,0,100,0,0,0,Colombia
2023-01-01,0,87,0,0,0,Colombia
2023-01-08,0,69,0,0,0,Colombia
2023-01-15,0,59,0,0,0,Colombia
2023-01-22,0,58,0,0,1,Colombia
2023-01-29,0,57,0,0,0,Colombia
2023-02-05,0,50,0,1,0,Colombia
2023-02-12,0,49,0,0,1,Colombia
2023-02-19,0,55,0,0,0,Colombia
2023-02-26,0,52,1,0,1,Colombia
2023-03-05,0,62,0,1,1,Colombia
2023-03-12,0,63,0,0,0,Colombia
2023-03-19,0,55,0,0,0,Colombia
2023-03-26,0,53,0,0,1,Colombia
2023-04-02,0,62,0,0,0,Colombia
2023-04-09,0,46,0,0,1,Colombia
2023-04-16,0,53,0,0,1,Colombia
2023-04-23,1,52,0,0,1,Colombia
2023-04-30,0,55,0,0,1,Colombia
2023-05-07,0,58,0,0,0,Colombia
2023-05-14,0,63,0,0,1,Colombia
2023-05-21,0,64,0,0,1,Colombia
2023-05-28,0,57,0,0,0,Colombia
2023-06-04,0,62,1,0,1,Colombia
2023-06-11,0,65,0,0,0,Colombia
2023-06-18,0,65,0,0,0,Colombia
2023-06-25,0,68,0,0,0,Colombia
2023-07-02,1,74,0,0,0,Colombia
2023-07-09,0,69,0,0,1,Colombia
2023-07-16,0,69,0,0,0,Colombia
2023-07-23,0,66,0,0,0,Colombia
2023-07-30,0,61,0,0,0,Colombia
2023-08-06,0,63,0,0,0,Colombia
2023-08-13,0,60,0,0,1,Colombia
2023-08-20,0,68,0,0,0,Colombia
2023-08-27,0,61,0,0,0,Colombia
2023-09-03,0,58,0,0,0,Colombia
2023-09-10,0,54,0,0,1,Colombia
2023-09-17,0,53,1,0,0,Colombia
2023-09-24,1,52,0,0,1,Colombia
2023-10-01,0,54,0,0,0,Colombia
2023-10-08,0,55,0,0,0,Colombia
2023-10-15,0,51,0,0,0,Colombia
2023-10-22,0,56,0,0,0,Colombia
2023-10-29,0,60,0,0,0,Colombia
2023-11-05,0,55,0,0,1,Colombia
2023-11-12,0,54,0,0,0,Colombia
2023-11-19,0,44,0,0,0,Colombia
2023-11-26,1,39,0,0,0,Colombia
2023-12-03,0,36,0,0,1,Colombia
2023-12-10,0,39,0,0,0,Colombia
2023-12-17,0,42,0,0,0,Colombia
2023-12-24,0,47,0,0,0,Colombia
2023-12-31,0,44,0,0,0,Colombia
2024-01-07,0,47,0,0,0,Colombia
2024-01-14,0,51,0,0,0,Colombia
2024-01-21,0,44,0,0,1,Colombia
2024-01-28,0,42,0,0,0,Colombia
2024-02-04,0,43,0,0,1,Colombia
2024-02-11,0,36,0,0,0,Colombia
2024-02-18,0,35,0,0,0,Colombia
2024-02-25,0,32,0,0,0,Colombia
2024-03-03,1,34,0,0,0,Colombia
2024-03-10,0,33,1,0,1,Colombia
2024-03-17,0,39,0,0,0,Colombia
2024-03-24,0,41,0,0,0,Colombia
2024-03-31,0,39,0,0,0,Colombia
2024-04-07,0,38,0,0,0,Colombia
2024-04-14,0,58,0,0,1,Colombia
2024-04-21,0,71,0,0,0,Colombia
2024-04-28,0,65,0,0,0,Colombia
2024-05-05,0,65,0,0,0,Colombia
2024-05-12,0,60,1,0,0,Colombia
2024-05-19,0,60,0,0,0,Colombia
2024-05-26,0,57,0,0,0,Colombia
2024-06-02,0,66,0,0,0,Colombia
2024-06-09,0,65,0,0,0,Colombia
2024-06-16,0,60,0,0,0,Colombia
2024-06-23,0,59,1,0,0,Colombia
2024-06-30,0,67,0,0,0,Colombia
2024-07-07,0,56,0,0,0,Colombia
2024-07-14,0,52,0,0,0,Colombia
2024-07-21,0,57,0,0,0,Colombia
2024-07-28,0,54,0,0,0,Colombia
2024-08-04,0,66,0,0,0,Colombia
